age_group,predicted_sentiment,count,proportion
0-20,negative,181,0.3073005093378608
0-20,neutral,228,0.3870967741935484
0-20,positive,180,0.30560271646859083
21-30,negative,191,0.32482993197278914
21-30,neutral,221,0.3758503401360544
21-30,positive,176,0.29931972789115646
31-45,neutral,257,0.4370748299319728
31-45,positive,169,0.28741496598639454
31-45,negative,162,0.2755102040816326
46-60,negative,184,0.3145299145299145
46-60,neutral,220,0.37606837606837606
46-60,positive,181,0.3094017094017094
60-70,negative,179,0.3054607508532423
60-70,neutral,226,0.3856655290102389
60-70,positive,181,0.30887372013651876
70-100,neutral,222,0.378839590443686
70-100,negative,170,0.2901023890784983
70-100,positive,194,0.3310580204778157
