sentiment,word,weight
negative,miss,0.02038
negative,sad,0.01689
negative,sorry,0.01522
negative,like,0.01345
negative,work,0.01289
negative,hate,0.01277
negative,bad,0.01237
negative,go,0.01159
negative,really,0.0111
negative,feel,0.01093
negative,today,0.01058
negative,sucks,0.00935
negative,day,0.00931
negative,about,0.00916
negative,sick,0.00904
negative,one,0.00903
negative,know,0.0088
negative,tired,0.00867
negative,oh,0.00866
negative,still,0.00843
negative,much,0.00821
negative,bored,0.0082
negative,want,0.00816
negative,think,0.00785
negative,back,0.00767
negative,time,0.00747
negative,need,0.00699
negative,ugh,0.00672
negative,home,0.00667
negative,hurts,0.00654
negative,sleep,0.00641
negative,good,0.00623
negative,well,0.00621
negative,right,0.00614
negative,missed,0.00602
negative,headache,0.00588
negative,feeling,0.00587
negative,as,0.00584
negative,missing,0.00553
negative,lol,0.00552
neutral,go,0.01336
neutral,work,0.0129
neutral,lol,0.01227
neutral,know,0.01095
neutral,time,0.01083
neutral,today,0.01071
neutral,day,0.0106
neutral,back,0.0105
neutral,one,0.00963
neutral,like,0.00954
neutral,home,0.00931
neutral,want,0.00917
neutral,see,0.00907
neutral,off,0.00834
neutral,about,0.00791
neutral,new,0.00782
neutral,think,0.00739
neutral,night,0.00736
neutral,need,0.00734
neutral,ll,0.00733
neutral,still,0.00726
neutral,twitter,0.00721
neutral,yeah,0.00673
neutral,well,0.00669
neutral,morning,0.00655
neutral,as,0.00646
neutral,haha,0.0064
neutral,last,0.00627
neutral,tomorrow,0.00623
neutral,oh,0.00616
neutral,watching,0.00615
neutral,really,0.00604
neutral,good,0.00584
neutral,re,0.0058
neutral,tonight,0.00542
neutral,way,0.0054
neutral,would,0.00528
neutral,right,0.00522
neutral,make,0.0052
neutral,yes,0.00519
positive,day,0.0293
positive,good,0.02928
positive,love,0.02763
positive,happy,0.02576
positive,thanks,0.02351
positive,great,0.01595
positive,nice,0.01303
positive,hope,0.01303
positive,mother,0.01301
positive,fun,0.01246
positive,thank,0.01222
positive,mother day,0.01158
positive,like,0.01144
positive,awesome,0.01129
positive,lol,0.011
positive,mothers,0.01072
positive,morning,0.01049
positive,happy mother,0.01024
positive,night,0.01015
positive,today,0.00939
positive,wish,0.00933
positive,really,0.0086
positive,mothers day,0.00859
positive,haha,0.00858
positive,one,0.00831
positive,time,0.00829
positive,re,0.00804
positive,best,0.00796
positive,see,0.00787
positive,new,0.0078
positive,go,0.00764
positive,much,0.00762
positive,well,0.00762
positive,know,0.00754
positive,better,0.00754
positive,happy mothers,0.00739
positive,cool,0.00726
positive,back,0.00719
positive,amazing,0.00692
positive,work,0.00689
